Employee ID,Name,Department,Job Role,Performance Score,KPI Score,Attendance (%),Peer Rating,Task Completion (%),Work Hours Logged,Manager Feedback,Training Hours,Promotion Eligibility,EngagementScore,Engagement_Category
376063,Manikya Badami,Sales,Sales Executive,61,91.03,94.4,4.5,78.19,42,3.7,18,No,84.24,HIGH
810690,Zara Mahal,Marketing,Marketing Executive,91,83.36,78.45,4.7,71.39,46,4.5,15,Yes,82.24,HIGH
520956,Sana Gera,Finance,Accountant,100,65.39,99.5,4.4,80.2,51,3.5,7,No,82.1,HIGH
202996,Zoya Wadhwa,Marketing,Content Strategist,100,82.9,79.83,4.3,71.51,43,5.0,9,Yes,82.91,HIGH
383410,Baiju Doctor,Sales,Sales Executive,80,90.9,89.92,3.7,78.03,51,3.1,29,No,77.68,HIGH
865548,Charvi Chakrabarti,HR,Employee Relations,53,72.43,82.52,5.0,70.93,35,4.7,4,No,83.83,HIGH
302189,Anahi Kari,Sales,Business Development,59,76.14,79.21,4.9,93.45,49,3.2,16,No,83.89,HIGH
907341,Kavya Kulkarni,IT,Cybersecurity Specialist,98,94.8,93.79,5.0,83.05,53,3.3,9,No,86.35,HIGH
275552,Trisha Bir,Sales,Account Manager,83,80.59,76.16,4.5,97.62,37,3.7,23,No,85.38,HIGH
745670,Shray Kaul,HR,HR Manager,70,73.82,91.44,4.5,84.12,51,4.2,18,No,85.71,HIGH
374239,Jhanvi Ghosh,Sales,Business Development,75,60.73,90.2,3.4,91.53,35,4.8,3,No,84.37,HIGH
903729,Emir Chaudhry,HR,HR Manager,73,82.23,78.43,4.0,92.26,44,4.7,12,No,86.39,HIGH
231366,Purab Tara,HR,HR Manager,100,92.09,90.13,3.5,86.27,40,3.2,1,No,79.92,HIGH
888390,Kashvi Bains,Sales,Business Development,95,66.64,94.68,4.2,92.61,50,4.3,17,Yes,87.38,HIGH
378452,Mishti Shah,Finance,Auditor,60,67.86,75.87,4.1,78.95,38,3.4,5,No,75.65,HIGH
786662,Umang Savant,IT,Data Analyst,81,63.41,83.64,3.6,80.15,48,3.9,1,No,77.11,HIGH
453442,Rhea Loyal,HR,Recruitment Specialist,94,62.67,78.64,4.3,73.62,45,3.2,15,No,74.08,MEDIUM
247543,Indrajit Shah,IT,Cybersecurity Specialist,65,62.14,81.18,3.8,79.31,41,4.3,29,No,78.64,HIGH
760752,Madhup Chaudhari,Marketing,Marketing Executive,50,73.31,79.96,4.7,70.72,42,4.7,27,No,82.14,HIGH
861299,Madhav Kara,HR,Recruitment Specialist,94,68.65,81.06,4.0,98.48,51,4.4,18,Yes,86.22,HIGH
276598,Pari Batta,IT,Cybersecurity Specialist,70,66.04,79.06,4.9,92.33,48,3.0,30,No,81.72,HIGH
897782,Chirag Bassi,Finance,Auditor,74,74.74,86.4,4.7,75.16,40,4.3,13,No,83.3,HIGH
514230,Jayant Dixit,Sales,Account Manager,75,63.95,80.49,4.1,82.45,42,3.2,4,No,76.43,HIGH
834049,Kismat Dora,Sales,Account Manager,83,64.87,79.25,3.4,84.48,54,3.7,6,No,76.08,HIGH
181362,Lakshit Lanka,IT,Software Engineer,81,82.16,94.82,4.9,87.0,36,3.0,9,No,84.88,HIGH
190571,Vidur Mani,Finance,Accountant,52,91.38,76.3,4.2,90.17,49,3.7,19,No,83.05,HIGH
478699,Anahita Ratti,Marketing,SEO Specialist,66,72.15,89.63,3.7,79.63,49,4.6,30,No,82.23,HIGH
892101,Sumer Mallick,Finance,Financial Analyst,68,80.43,90.09,4.8,84.64,51,3.9,12,No,86.25,HIGH
268043,Aaina Swaminathan,Finance,Financial Analyst,90,82.5,80.84,4.1,90.53,49,4.6,1,Yes,86.38,HIGH
108201,Nitara Saha,Sales,Sales Executive,77,70.93,94.01,4.2,96.69,53,4.1,8,No,88.1,HIGH
431608,Yuvraj  Kota,Marketing,SEO Specialist,52,89.09,95.21,3.8,74.09,55,4.0,13,No,81.38,HIGH
302120,Uthkarsh Bhakta,IT,Cybersecurity Specialist,95,63.18,98.11,4.7,98.39,36,3.3,30,No,87.46,HIGH
949655,Hiran Sharma,HR,Recruitment Specialist,97,73.85,89.07,4.1,98.64,53,3.2,1,No,83.99,HIGH
999957,Rhea Handa,Finance,Financial Analyst,68,92.79,77.28,4.1,96.44,51,4.4,3,No,87.67,HIGH
